Computed reward for each iterations     &    depth of the search
00559     0.9504     2
00560     0.9100     2
00561     0.9439     2
00562     0.9008     2
00563     0.9869     2
00564     0.9184     2
00565     0.9098     2
00566     0.9211     2
00567     0.9517     2
00568     0.8912     2
00569     0.9464     2
00570     0.9627     2
00571     0.9038     2
00572     0.8391     1
00573     0.9646     2
00574     0.9614     2
00575     0.8523     2
00576     0.9327     2
00577     0.9517     2
00578     0.9775     2
00579     0.9088     2
00580     0.5080     1
00581     0.8391     1
00582     0.7915     2
00583     0.9855     2
00584     0.9519     2
00585     1.0000     2
00586     0.9549     2
00587     0.9744     2
00588     0.5877     1
00589     0.6250     1
00590     0.6457     1
00591     0.9760     1
00592     0.9444     1
00593     0.9343     1
00594     0.6409     1
00595     0.6528     1
00596     0.6765     1
00597     0.9792     1
00598     0.6602     1
00599     0.6522     1
00600     0.9789     1
00601     0.5056     1
00602     0.9533     1
00603     0.6043     1
00604     0.9838     1
00605     0.6875     1
00606     0.6216     1
00607     0.9278     1
00608     0.5789     1
00609     0.9551     1
00610     0.6490     1
00611     0.6602     1
00612     0.8081     1
00613     0.6932     1
00614     0.9635     1
00615     0.7115     1
00616     0.8390     1
00617     0.6345     1
00618     0.6769     1
00619     0.6721     1
00620     0.7676     1
00621     0.5304     1
00622     0.5974     1
00623     0.7696     1
00624     0.6656     1
00625     0.9423     1
00626     0.7143     1
00627     0.6071     1
00628     0.5976     1
00629     0.8969     1
00630     0.8992     1
00631     0.7192     1
00632     0.6732     1
00633     0.6634     1
00634     0.7305     1
00635     0.7383     1
00636     0.9869     1
00637     0.9302     1
00638     0.7370     1
00639     0.5248     1
00640     0.7740     1
00641     0.6528     1
00642     0.9615     2
00643     0.9679     2
00644     0.9680     2
00645     0.8880     2
00646     0.9800     2
00647     0.9667     2
00648     0.8824     2
00649     0.9091     2
00650     0.9557     2
00651     1.0000     2
00652     0.9662     2
00653     0.9529     2
00654     0.9359     2
00655     0.9744     2
00656     0.9904     2
00657     0.9183     2
00658     0.9630     2
00659     0.9760     2
00660     0.9692     2
00661     0.9760     2
00662     0.9324     2
00663     0.9901     2
00664     0.9376     2
00665     0.9904     2
00666     0.9440     2
00667     0.8068     2
00668     0.9469     2
00669     1.0000     2
00670     0.9643     2
00671     0.9508     2
00672     0.9098     2
00673     0.9787     2
00674     0.9919     2
00675     0.9600     2
00676     0.9399     2
00677     0.9343     2
00678     0.9562     2
00679     0.9903     2
00680     0.9712     2
00681     0.9898     2
00682     0.8950     2
00683     0.9425     2
00684     0.9340     2
00685     0.8824     2
00686     0.9872     2
00687     0.9675     2
00688     0.9758     2
00689     0.9269     2
00690     0.9491     2
00691     0.9188     2
00692     0.9915     2
00693     0.9813     2
00694     0.9327     2
00695     0.9750     2
00696     0.9647     2
00697     0.9551     2
00698     0.9593     2
00699     0.9984     2
00700     0.9647     2
00701     0.9773     2
00702     0.9294     2
00703     0.9302     2
00704     0.9296     2
00705     1.0000     2
00706     0.8977     2
00707     0.9147     2
00708     0.9968     2
00709     0.8895     2
00710     0.9663     2
00711     0.9375     2
00712     0.9247     2
00713     0.9614     2
00714     0.9726     2
00715     0.9688     2
00716     0.9708     2
00717     0.9172     2
00718     0.9503     2
00719     0.8535     2
00720     0.9663     2
00721     0.9179     2
00722     0.9535     2
00723     0.9389     2
00724     0.9163     2
00725     0.9424     2
00726     0.9423     2
00727     0.9456     2
00728     0.9724     2
00729     0.9432     2
00730     0.9416     2
00731     0.7922     2
00732     0.9294     2
00733     0.8391     1
00734     0.9042     2
00735     0.9679     2
00736     0.9263     2
00737     0.8391     1
00738     0.8857     2
00739     0.7143     1
00740     0.8624     2
00741     0.9404     2
00742     0.9535     2
00743     0.9215     2
00744     0.8391     1
00745     0.7549     2
00746     0.9648     2
00747     0.9383     2
00748     0.9311     2
00749     0.8391     1
00750     0.9544     2
00751     0.9544     2
00752     0.9544     2
00753     0.9544     2
00754     0.8391     1
00755     0.9409     2
00756     0.8883     2
00757     0.8271     2
00758     0.9544     2
00759     0.9544     2
00760     0.9544     2
00761     0.6480     1
00762     0.8317     2
00763     0.9646     2
00764     0.9616     2
00765     0.8391     1
00766     0.9544     2
00767     0.8391     1
00768     0.9692     2
00769     0.9635     2
00770     0.9635     2
00771     0.7340     2
00772     0.9544     2
00773     0.9544     2
00774     0.9544     2
00775     0.9544     2
00776     0.9529     2
00777     0.8917     2
00778     0.9544     2
00779     0.8391     1
00780     0.9635     2
00781     0.9635     2
00782     0.8391     1
00783     0.9544     2
00784     0.9533     3
00785     0.8240     2
00786     0.9635     2
00787     0.9635     2
00788     0.9635     2
00789     0.9635     2
00790     0.9635     2
00791     0.9635     2
00792     0.8391     1
00793     0.9542     3
00794     0.9048     3
00795     0.9635     2
00796     0.9113     2
00797     0.8391     1
00798     0.9635     2
00799     0.9635     2
00800     0.9635     2
00801     0.8894     2
00802     0.9439     3
00803     0.8391     1
00804     0.9904     3
00805     0.9524     3
00806     0.9375     3
00807     0.7665     2
00808     0.5513     1
00809     0.9275     3
00810     0.9679     2
00811     0.9854     3
00812     0.8599     2
00813     0.4444     1
00814     0.9659     3
00815     0.7824     2
00816     0.9517     3
00817     0.8512     3
00818     0.8391     1
00819     0.8750     2
00820     0.9663     3
00821     0.8977     2
00822     0.9400     2
00823     0.7222     2
00824     0.9010     2
00825     0.8627     2
00826     0.7808     2
00827     0.9871     2
00828     0.8728     2
00829     0.8539     2
00830     0.9302     2
00831     0.8600     2
00832     0.8642     2
00833     0.7504     2
00834     0.8263     2
00835     0.7701     2
00836     0.7451     2
00837     0.9130     2
00838     0.9423     2
00839     0.8670     2
00840     0.7712     2
00841     0.8227     2
00842     0.8141     2
00843     0.8403     2
00844     0.8374     2
00845     0.8948     2
00846     0.9696     2
00847     0.8583     2
00848     0.8196     2
00849     0.8489     2
00850     0.8523     2
00851     0.7895     2
