
Search Tree T:

Address   Features                             T_F    N_final
 0000608    0000000000000010001000010000000      0038     2
 0000609    0000000100000001000000000010000      0009     2
 0000610    0000000000000010000000000010010      0008     2
 0000611    0000000000110000000000010000000      0037     2
 0000612    0000100000000001001000010000000      0003     0
 0000613    0000000100000100000000010000000      0037     2
 0000614    0000000000000000001000000000100      0057     2
 0000615    0000001000000001000000000000010      0007     2
 0000616    0000000000000000000000110001000      0122     4
 0000617    0000000000100000010000100000000      0069     3
 0000618    0000000000100000000000001010000      0011     2
 0000619    0000000000100000001000000010000      0010     2
 0000620    0000000000000100000000000100000      0072     2
 0000621    1100000000000000000000000000000      0126     4
 0000622    0000100000000011000000000000000      0003     0
 0000623    0000000000010000100000010000000      0039     2
 0000624    0000000000010000000000010010000      0039     2
 0000625    0010000000000000000010010000000      0049     2
 0000626    1000000000010010000000000000000      0009     1
 0000627    1000000000100000000000001000000      0011     2
 0000628    0000000000100010001000000000000      0007     1
 0000629    0000000000000000000010000000010      0004     0
 0000630    1000000000000010000001000000000      0009     1
